Policy ID,Policy Type,Coverage Amount,Premium Amount,Policy Start Date,Policy End Date,Payment Frequency,Status,Customer ID,Policy Duration Days,Policy Duration Category,Active Policy Flag,Name,Gender,Age,Occupation,Marital Status,"Address (City, State, Zip Code)",Age Bucket,Married Flag,Senior Citizen Flag,Customer Segment,Agent ID,Renewal Status,Policy Discounts,Risk Score,High_Risk_Flag,Risk Category,High Risk Flag,Renewal Segment
POL70474651,Health,327028,962.68,2023-11-05,2030-05-19,Monthly,Lapsed,CUST54507478,2387,Long Term,0,Teresa Fritz,Other,57,"Engineer, technical sales",Divorced,"Jorgestad, Virginia, 69715",56+,0,0,Senior Adult,AGT43950584,Not Renewed,0,82,1,High Risk,1,Churned
POL89907664,Life,74169,492.23,2022-03-04,2029-01-09,Monthly,Terminated,CUST00235004,2503,Long Term,0,Justin Edwards,Other,82,"Restaurant manager, fast food",Married,"New Victorside, South Carolina, 48392",56+,1,1,Senior Adult,AGT26990736,Renewed,39,83,1,High Risk,1,Loyal
POL64943722,Health,221353,824.14,2023-12-23,2030-04-27,Annually,Terminated,CUST54318231,2317,Long Term,0,Mrs. Donna Cunningham,Female,24,"Teacher, music",Single,"Cruzshire, Pennsylvania, 50763",18-25,0,0,Young Adult,AGT85390293,Renewed,45,9,0,Low Risk,0,Loyal
POL90960707,Health,276513,890.01,2022-11-18,2025-09-13,Annually,Active,CUST65008360,1030,Medium Term,1,Heather Taylor MD,Female,18,"Scientist, research (maths)",Divorced,"North Jessicaview, Missouri, 58051",18-25,0,0,Young Adult,AGT13144077,Renewed,31,29,0,Low Risk,0,Loyal
POL59179996,Property,209276,315.72,2018-02-04,2025-04-09,Monthly,Active,CUST18337391,2621,Long Term,1,Jose Rodriguez,Male,55,"Designer, furniture",Married,"Lisatown, Colorado, 97955",46-55,1,0,Senior Adult,AGT04680213,Pending,25,47,0,Medium Risk,0,At Risk
POL24718635,Property,284606,730.56,2022-07-27,2027-12-13,Annually,Active,CUST94024764,1965,Long Term,1,Chelsea Sexton,Other,81,Cytogeneticist,Single,"Cherylfurt, Mississippi, 82024",56+,0,1,Senior Adult,AGT89254638,Pending,47,35,0,Medium Risk,0,At Risk
POL19704549,Property,107142,872.55,2018-08-10,2025-06-03,Quarterly,Lapsed,CUST37162794,2489,Long Term,0,Debra Craig,Other,63,"Administrator, sports",Widowed,"New Sabrinaburgh, Maryland, 31451",56+,0,1,Senior Adult,AGT32533158,Pending,48,40,0,Medium Risk,0,At Risk
POL99720690,Life,43579,981.71,2015-04-18,2023-07-17,Monthly,Active,CUST80574300,3012,Long Term,1,Amber Thomas,Female,69,Dance movement psychotherapist,Single,"Robertburgh, West Virginia, 47725",56+,0,1,Senior Adult,AGT79593844,Pending,16,24,0,Low Risk,0,At Risk
POL07613630,Health,103548,1927.96,2019-02-03,2026-07-26,Monthly,Active,CUST53450793,2730,Long Term,1,Steven Walker,Male,37,"Engineer, materials",Widowed,"Morrisshire, New Mexico, 05931",36-45,0,0,Middle Age,AGT42929675,Not Renewed,8,77,1,High Risk,1,Churned
POL68368522,Health,467228,1359.2,2019-11-17,2025-09-04,Annually,Lapsed,CUST00957425,2118,Long Term,0,Mary Clark,Other,33,Event organiser,Widowed,"New Lucasbury, Nevada, 85435",26-35,0,0,Middle Age,AGT58174916,Pending,42,46,0,Medium Risk,0,At Risk
POL96166579,Life,132969,1666.16,2017-04-04,2024-10-31,Monthly,Terminated,CUST78371218,2767,Long Term,0,Shawn Moore,Female,38,"Librarian, academic",Divorced,"Melissamouth, New Mexico, 61811",36-45,0,0,Middle Age,AGT62130200,Pending,29,44,0,Medium Risk,0,At Risk
POL78863924,Health,192018,1528.72,2020-09-23,2023-11-29,Monthly,Lapsed,CUST36691624,1162,Long Term,0,James Marshall,Male,49,Occupational therapist,Divorced,"Perezport, Delaware, 93882",46-55,0,0,Middle Age,AGT02968022,Renewed,27,61,0,High Risk,0,Loyal
POL66542527,Life,209098,1670.55,2019-05-23,2024-04-30,Quarterly,Active,CUST09670639,1804,Long Term,1,Mrs. Priscilla Turner,Female,68,Visual merchandiser,Widowed,"North Trevorton, Alaska, 20909",56+,0,1,Senior Adult,AGT46386081,Pending,11,10,0,Low Risk,0,At Risk
POL21617511,Health,302289,748.41,2020-04-29,2028-05-19,Quarterly,Terminated,CUST23186598,2942,Long Term,0,Chad Ryan,Male,38,Ceramics designer,Married,"Billyton, Mississippi, 66584",36-45,1,0,Middle Age,AGT45322995,Pending,41,87,1,High Risk,1,At Risk
POL96023706,Life,312505,1031.19,2019-12-26,2028-12-25,Annually,Active,CUST47187133,3287,Long Term,1,Tricia Anderson,Male,36,Equality and diversity officer,Divorced,"East Nicole, South Dakota, 70113",36-45,0,0,Middle Age,AGT60595923,Not Renewed,30,72,1,High Risk,1,Churned
POL42325037,Property,169535,824.98,2016-05-21,2018-05-28,Quarterly,Terminated,CUST71225485,737,Medium Term,0,Donna Logan,Other,43,Fish farm manager,Married,"West Carla, Missouri, 55367",36-45,1,0,Middle Age,AGT31312804,Renewed,0,3,0,Low Risk,0,Loyal
POL40460695,Auto,56730,1622.87,2023-05-14,2032-06-27,Quarterly,Lapsed,CUST00428034,3332,Long Term,0,Kathy Hood,Male,83,"Embryologist, clinical",Divorced,"Bowmantown, Pennsylvania, 55672",56+,0,1,Senior Adult,AGT57898434,Pending,40,46,0,Medium Risk,0,At Risk
POL78206308,Property,171704,1598.68,2020-08-31,2021-09-15,Quarterly,Lapsed,CUST60187719,380,Medium Term,0,Seth Moore,Male,66,Travel agency manager,Married,"Ericton, Utah, 52998",56+,1,1,Senior Adult,AGT18996802,Pending,31,49,0,Medium Risk,0,At Risk
POL52956070,Auto,382120,1501.18,2023-10-04,2028-01-06,Monthly,Active,CUST25673219,1555,Long Term,1,Joseph Martinez,Female,25,Minerals surveyor,Divorced,"New Gwendolynstad, South Carolina, 88722",18-25,0,0,Young Adult,AGT88632369,Not Renewed,16,60,0,Medium Risk,0,Churned
POL39046123,Health,32087,483.06,2021-01-06,2028-06-11,Quarterly,Active,CUST73404920,2713,Long Term,1,Shane Scott,Male,62,"Sound technician, broadcasting/film/video",Single,"West Chadton, North Carolina, 97832",56+,0,1,Senior Adult,AGT70061804,Renewed,19,54,0,Medium Risk,0,Loyal
POL51620232,Life,60445,757.14,2018-07-01,2027-08-25,Annually,Lapsed,CUST01691078,3342,Long Term,0,Alicia Zhang,Other,31,Location manager,Single,"Mooremouth, Michigan, 06407",26-35,0,0,Middle Age,AGT03089985,Renewed,39,36,0,Medium Risk,0,Loyal
POL36575612,Property,68226,886.95,2018-10-22,2026-08-06,Annually,Active,CUST30000380,2845,Long Term,1,Heather Reynolds,Other,82,Sports administrator,Divorced,"Moniquechester, Wisconsin, 90238",56+,0,1,Senior Adult,AGT46008376,Renewed,49,93,1,High Risk,1,Loyal
POL48412691,Auto,354308,237.23,2022-08-20,2029-05-17,Monthly,Lapsed,CUST31924421,2462,Long Term,0,Jamie Navarro,Female,23,Multimedia programmer,Divorced,"Adrianbury, Minnesota, 27450",18-25,0,0,Young Adult,AGT70796644,Pending,35,24,0,Low Risk,0,At Risk
POL15402724,Health,39002,1757.07,2019-10-30,2027-12-28,Annually,Lapsed,CUST82780241,2981,Long Term,0,Ms. Traci Rowland,Female,57,Facilities manager,Divorced,"Port Dennis, Kansas, 57317",56+,0,0,Senior Adult,AGT33496812,Renewed,46,56,0,Medium Risk,0,Loyal
POL83997445,Property,431985,1615.36,2019-10-11,2024-09-11,Annually,Terminated,CUST57732941,1797,Long Term,0,Deborah Miller,Male,62,Clothing/textile technologist,Single,"Burgessburgh, Maryland, 66469",56+,0,1,Senior Adult,AGT63219112,Not Renewed,24,32,0,Medium Risk,0,Churned
POL20505761,Health,320924,261.74,2024-10-27,2032-12-20,Quarterly,Terminated,CUST26702312,2976,Long Term,0,Breanna Stewart,Female,75,Psychotherapist,Divorced,"East Allisonfort, Hawaii, 64106",56+,0,1,Senior Adult,AGT27491994,Renewed,13,100,1,High Risk,1,Loyal
POL69974800,Property,345959,1252.45,2017-05-04,2021-07-10,Quarterly,Active,CUST32321186,1528,Long Term,1,Melanie Smith,Other,58,Retail manager,Single,"Kyleville, North Carolina, 03199",56+,0,0,Senior Adult,AGT98172610,Pending,47,35,0,Medium Risk,0,At Risk
POL30601696,Health,147344,255.09,2021-12-31,2025-03-21,Quarterly,Active,CUST37922598,1176,Long Term,1,Ms. Jessica Haynes,Other,68,Manufacturing engineer,Single,"New Morgan, Montana, 44274",56+,0,1,Senior Adult,AGT34186806,Pending,2,52,0,Medium Risk,0,At Risk
POL62179381,Auto,426864,1872.17,2022-06-17,2026-10-23,Monthly,Terminated,CUST81469819,1589,Long Term,0,Michelle Howard,Other,58,"Engineer, petroleum",Married,"South Mark, Maryland, 88379",56+,1,0,Senior Adult,AGT05021501,Pending,7,68,0,High Risk,0,At Risk
POL77239759,Health,239948,1756.6,2022-01-12,2028-03-03,Quarterly,Lapsed,CUST62368924,2242,Long Term,0,Elizabeth Cabrera,Male,78,"Scientist, research (physical sciences)",Married,"New Monica, North Dakota, 83940",56+,1,1,Senior Adult,AGT18473213,Pending,44,38,0,Medium Risk,0,At Risk
POL44219481,Health,197458,1192.48,2019-02-28,2028-07-17,Annually,Terminated,CUST20014882,3427,Long Term,0,Amanda Wells,Male,53,Press photographer,Single,"New Gabrielashire, North Dakota, 62380",46-55,0,0,Senior Adult,AGT81391380,Not Renewed,27,75,1,High Risk,1,Churned
POL75428993,Life,288667,527.69,2015-12-25,2019-02-19,Annually,Lapsed,CUST80499403,1152,Long Term,0,Amanda Clarke,Male,46,Mental health nurse,Widowed,"Mitchellshire, Maryland, 92474",46-55,0,0,Middle Age,AGT00296873,Not Renewed,27,25,0,Low Risk,0,Churned
POL65504828,Health,195603,1759.66,2015-11-02,2021-10-08,Monthly,Terminated,CUST70215391,2167,Long Term,0,Stacey Simpson,Male,79,Insurance underwriter,Married,"Williamschester, Illinois, 72402",56+,1,1,Senior Adult,AGT09870015,Renewed,23,23,0,Low Risk,0,Loyal
POL96603488,Life,146452,1737.04,2023-07-13,2032-03-10,Quarterly,Terminated,CUST33662644,3163,Long Term,0,David Johnson,Other,24,Risk analyst,Widowed,"New Debbiehaven, Texas, 39534",18-25,0,0,Young Adult,AGT02089326,Renewed,11,3,0,Low Risk,0,Loyal
POL13213398,Auto,46873,1536.7,2018-02-13,2022-10-06,Quarterly,Active,CUST48448849,1696,Long Term,1,Amanda Powell MD,Male,68,Television/film/video producer,Widowed,"Lake Jacqueline, Nebraska, 72709",56+,0,1,Senior Adult,AGT82511992,Pending,28,28,0,Low Risk,0,At Risk
POL27777205,Auto,480192,599.11,2015-10-25,2021-04-18,Monthly,Lapsed,CUST85120425,2002,Long Term,0,Dorothy Gardner,Female,47,Television camera operator,Single,"West Tracyburgh, Virginia, 32899",46-55,0,0,Middle Age,AGT24479233,Pending,27,92,1,High Risk,1,At Risk
POL30200147,Life,276767,660.18,2022-07-04,2032-06-19,Annually,Active,CUST55837978,3638,Long Term,1,Christina West,Male,69,"Chemist, analytical",Divorced,"North Michael, Oregon, 82754",56+,0,1,Senior Adult,AGT46426143,Pending,32,78,1,High Risk,1,At Risk
POL32552913,Property,456557,846.03,2019-03-20,2025-08-30,Quarterly,Lapsed,CUST38923831,2355,Long Term,0,Steven Ramirez,Other,78,Fine artist,Widowed,"Perezbury, Arkansas, 70213",56+,0,1,Senior Adult,AGT00778173,Pending,37,55,0,Medium Risk,0,At Risk
POL35209226,Auto,92652,142.47,2023-01-01,2027-03-13,Monthly,Lapsed,CUST58439547,1532,Long Term,0,Wendy Sosa,Male,66,Museum/gallery curator,Married,"Charlestown, Vermont, 46421",56+,1,1,Senior Adult,AGT36991573,Not Renewed,7,3,0,Low Risk,0,Churned
POL51049013,Life,251162,688.07,2016-12-22,2023-03-20,Monthly,Terminated,CUST24079117,2279,Long Term,0,William Santana,Male,45,"Presenter, broadcasting",Widowed,"New Jeremy, South Dakota, 09482",36-45,0,0,Middle Age,AGT08478371,Not Renewed,10,53,0,Medium Risk,0,Churned
POL79914241,Auto,176907,1849.05,2018-06-03,2021-06-12,Monthly,Terminated,CUST96653745,1105,Long Term,0,Eric Nelson,Other,67,Counsellor,Married,"Laneburgh, Massachusetts, 29269",56+,1,1,Senior Adult,AGT52042395,Pending,4,22,0,Low Risk,0,At Risk
POL63077295,Health,334854,582.68,2022-11-23,2027-08-23,Quarterly,Terminated,CUST31891472,1734,Long Term,0,Dr. Melissa Harrington DDS,Male,70,Financial manager,Married,"Lake Adamton, Massachusetts, 51661",56+,1,1,Senior Adult,AGT88851041,Renewed,34,56,0,Medium Risk,0,Loyal
POL19274658,Property,483238,1259.72,2017-01-08,2026-12-21,Annually,Terminated,CUST15254113,3634,Long Term,0,Rebecca Gross,Male,44,"Production designer, theatre/television/film",Single,"Careytown, Virginia, 22353",36-45,0,0,Middle Age,AGT29625804,Not Renewed,38,64,0,High Risk,0,Churned
POL28043223,Auto,163477,310.86,2022-06-04,2028-12-20,Quarterly,Active,CUST53206356,2391,Long Term,1,John Perry,Female,21,"Therapist, music",Single,"Clarkchester, Tennessee, 57821",18-25,0,0,Young Adult,AGT39587181,Renewed,50,36,0,Medium Risk,0,Loyal
POL43343233,Life,168658,1725.78,2016-04-29,2025-01-28,Annually,Terminated,CUST02447950,3196,Long Term,0,Corey Burns,Male,34,Personnel officer,Widowed,"East Johnport, Ohio, 39091",26-35,0,0,Middle Age,AGT57527336,Not Renewed,11,45,0,Medium Risk,0,Churned
POL02336146,Health,257448,994.07,2022-04-13,2027-07-29,Monthly,Terminated,CUST79910497,1933,Long Term,0,Gerald Johnson,Female,35,"Radiographer, therapeutic",Married,"East Brianhaven, New York, 39512",26-35,1,0,Middle Age,AGT87797273,Not Renewed,9,54,0,Medium Risk,0,Churned
POL01239814,Auto,357404,1184.12,2015-06-12,2023-10-04,Annually,Active,CUST91867775,3036,Long Term,1,William Martinez,Female,51,Architect,Divorced,"West Raymondshire, Virginia, 52436",46-55,0,0,Senior Adult,AGT58491749,Renewed,4,1,0,Low Risk,0,Loyal
POL64805692,Health,49415,1483.23,2018-05-16,2022-09-21,Annually,Terminated,CUST94119943,1589,Long Term,0,Richard Lucas,Male,34,"Research officer, government",Widowed,"Chavezburgh, Kansas, 21153",26-35,0,0,Middle Age,AGT24832912,Renewed,17,33,0,Medium Risk,0,Loyal
POL79704681,Auto,290735,811.42,2016-12-23,2020-04-04,Annually,Terminated,CUST68517617,1198,Long Term,0,Brad Robinson,Male,33,Child psychotherapist,Divorced,"Dalehaven, Virginia, 80885",26-35,0,0,Middle Age,AGT23653110,Not Renewed,38,42,0,Medium Risk,0,Churned
POL77826609,Life,345291,1580.02,2018-07-20,2021-04-14,Quarterly,Lapsed,CUST71284835,999,Medium Term,0,Shannon Lee,Male,81,Product/process development scientist,Widowed,"North Emily, Idaho, 47191",56+,0,1,Senior Adult,AGT41354483,Pending,46,33,0,Medium Risk,0,At Risk
POL06037561,Life,314600,1751.73,2024-10-31,2027-06-27,Quarterly,Lapsed,CUST27130653,969,Medium Term,0,Justin Shaw,Other,39,Futures trader,Single,"West Alexmouth, Oklahoma, 35132",36-45,0,0,Middle Age,AGT70367808,Not Renewed,3,18,0,Low Risk,0,Churned
POL50239325,Health,33623,1174.4,2020-09-08,2024-04-19,Annually,Active,CUST04086033,1319,Long Term,1,Melanie Cochran,Male,28,"Embryologist, clinical",Single,"East Jamesfurt, Texas, 21549",26-35,0,0,Young Adult,AGT96446016,Renewed,8,1,0,Low Risk,0,Loyal
POL83266915,Auto,411525,1526.83,2024-09-24,2028-12-16,Monthly,Terminated,CUST70562742,1544,Long Term,0,Paul Mckay,Female,47,Analytical chemist,Single,"Lake Robin, Massachusetts, 41055",46-55,0,0,Middle Age,AGT02017880,Pending,18,66,0,High Risk,0,At Risk
POL18867984,Auto,363978,1327.53,2024-10-31,2033-05-23,Monthly,Terminated,CUST32764229,3126,Long Term,0,Lisa Hebert,Female,30,Accounting technician,Widowed,"South Brettton, Maine, 90488",26-35,0,0,Young Adult,AGT64295113,Pending,46,49,0,Medium Risk,0,At Risk
POL50802042,Life,213344,1212.56,2020-01-06,2025-01-22,Quarterly,Lapsed,CUST54795828,1843,Long Term,0,Robert Thomas,Other,79,Data scientist,Divorced,"Lindseybury, Vermont, 19529",56+,0,1,Senior Adult,AGT97767020,Not Renewed,8,18,0,Low Risk,0,Churned
POL76748109,Auto,140627,465.01,2019-11-15,2021-03-09,Monthly,Lapsed,CUST78885562,480,Medium Term,0,Kenneth Brown Jr.,Female,74,Statistician,Divorced,"Kimberlyton, Pennsylvania, 52552",56+,0,1,Senior Adult,AGT34431565,Renewed,39,63,0,High Risk,0,Loyal
POL48874486,Life,392394,469.83,2015-02-01,2022-06-17,Annually,Active,CUST33244265,2693,Long Term,1,John Burns,Male,74,"Restaurant manager, fast food",Married,"New Kenneth, Idaho, 65678",56+,1,1,Senior Adult,AGT59958517,Not Renewed,39,68,0,High Risk,0,Churned
POL91116374,Property,86485,1903.93,2016-11-05,2026-02-14,Annually,Active,CUST09709314,3388,Long Term,1,Jesse George,Male,31,Arboriculturist,Single,"Lake Erinville, Kentucky, 44113",26-35,0,0,Middle Age,AGT49653858,Not Renewed,29,42,0,Medium Risk,0,Churned
POL91686015,Property,486630,175.56,2018-03-15,2024-01-15,Quarterly,Active,CUST55738104,2132,Long Term,1,James Carr,Female,69,"Surveyor, mining",Single,"Lake Sarabury, Tennessee, 65736",56+,0,1,Senior Adult,AGT82729240,Renewed,9,69,0,High Risk,0,Loyal
POL13029856,Health,226087,1328.37,2023-12-10,2032-08-03,Quarterly,Lapsed,CUST28568796,3159,Long Term,0,Casey Hobbs,Male,67,Immigration officer,Married,"Port Christinaport, Massachusetts, 22406",56+,1,1,Senior Adult,AGT49414273,Renewed,2,39,0,Medium Risk,0,Loyal
POL28573734,Auto,381377,221.67,2021-12-29,2026-02-28,Monthly,Active,CUST39886299,1522,Long Term,1,Dawn Armstrong,Male,26,"Designer, graphic",Divorced,"Lake Cameron, California, 62557",26-35,0,0,Young Adult,AGT48089898,Renewed,4,56,0,Medium Risk,0,Loyal
POL90664485,Auto,147224,1777.44,2016-07-08,2023-02-09,Quarterly,Lapsed,CUST62519479,2407,Long Term,0,Kimberly Cannon,Male,78,Cytogeneticist,Widowed,"Melissaport, Minnesota, 61982",56+,0,1,Senior Adult,AGT35851031,Renewed,47,20,0,Low Risk,0,Loyal
POL25630495,Health,24442,933.89,2017-02-12,2021-10-28,Annually,Lapsed,CUST03591575,1719,Long Term,0,Seth Lee,Other,44,Tax inspector,Divorced,"East Linda, Georgia, 71671",36-45,0,0,Middle Age,AGT34601248,Renewed,41,97,1,High Risk,1,Loyal
POL58909677,Property,400332,106.67,2023-03-02,2031-11-12,Monthly,Active,CUST29405035,3177,Long Term,1,Jessica House,Male,79,Paediatric nurse,Married,"Stevenmouth, Ohio, 98726",56+,1,1,Senior Adult,AGT49109239,Pending,31,36,0,Medium Risk,0,At Risk
POL21300763,Health,101006,741.17,2022-05-14,2031-03-10,Monthly,Terminated,CUST42357086,3222,Long Term,0,James Taylor,Female,47,Licensed conveyancer,Divorced,"North Briana, Illinois, 33611",46-55,0,0,Middle Age,AGT53433359,Pending,37,54,0,Medium Risk,0,At Risk
POL27708077,Health,74443,1851.28,2017-09-26,2026-07-02,Annually,Active,CUST25851292,3201,Long Term,1,Jennifer Baker,Other,20,Event organiser,Widowed,"Erikberg, New Jersey, 09524",18-25,0,0,Young Adult,AGT97761864,Renewed,18,75,1,High Risk,1,Loyal
POL97831639,Property,250730,717.0,2023-05-10,2032-07-24,Quarterly,Lapsed,CUST99294379,3363,Long Term,0,Jessica Palmer,Male,65,Dietitian,Single,"Lake Luis, Washington, 58284",56+,0,1,Senior Adult,AGT91783202,Pending,27,75,1,High Risk,1,At Risk
POL66952651,Life,202161,305.52,2018-06-06,2022-01-13,Quarterly,Lapsed,CUST37934673,1317,Long Term,0,Shannon Vargas,Other,84,Television floor manager,Divorced,"Paulshire, South Carolina, 35276",56+,0,1,Senior Adult,AGT55165473,Pending,25,35,0,Medium Risk,0,At Risk
POL36273981,Health,424309,1346.48,2022-05-08,2027-09-08,Annually,Terminated,CUST70375510,1949,Long Term,0,Jessica Chavez DVM,Other,53,Television floor manager,Single,"East Margaretshire, Louisiana, 16722",46-55,0,0,Senior Adult,AGT25853628,Renewed,45,61,0,High Risk,0,Loyal
POL34621999,Health,484208,1018.8,2023-07-02,2026-12-01,Monthly,Lapsed,CUST03769712,1248,Long Term,0,Mark Yates,Female,37,Technical sales engineer,Married,"Jamesberg, Virginia, 84313",36-45,1,0,Middle Age,AGT93876422,Renewed,48,83,1,High Risk,1,Loyal
POL72333651,Auto,19652,1431.27,2016-12-12,2026-11-26,Annually,Terminated,CUST59559298,3636,Long Term,0,Donna Hoover,Male,76,Quality manager,Divorced,"New Sarahton, Ohio, 55093",56+,0,1,Senior Adult,AGT80165018,Pending,46,80,1,High Risk,1,At Risk
POL60474745,Auto,204488,1189.7,2022-10-29,2032-03-20,Monthly,Terminated,CUST50443721,3430,Long Term,0,Samantha Anderson,Male,57,Multimedia programmer,Single,"East Roger, Washington, 82149",56+,0,0,Senior Adult,AGT00132948,Pending,8,95,1,High Risk,1,At Risk
POL48632113,Auto,345863,873.18,2017-02-17,2019-12-15,Quarterly,Active,CUST63958064,1031,Medium Term,1,Bryan Smith,Male,76,Lawyer,Married,"Hallport, Arizona, 40344",56+,1,1,Senior Adult,AGT76069643,Renewed,27,32,0,Medium Risk,0,Loyal
POL95138693,Property,496597,1516.77,2015-02-04,2017-10-01,Annually,Lapsed,CUST40389603,970,Medium Term,0,Katherine Avila,Other,62,Information systems manager,Divorced,"Huangport, Idaho, 91217",56+,0,1,Senior Adult,AGT02449182,Not Renewed,11,59,0,Medium Risk,0,Churned
POL55883370,Property,91037,623.37,2015-04-04,2019-08-08,Quarterly,Terminated,CUST01863550,1587,Long Term,0,Ashley Allen MD,Male,47,Land,Widowed,"Port Keith, Florida, 66653",46-55,0,0,Middle Age,AGT73119441,Not Renewed,17,91,1,High Risk,1,Churned
POL45719981,Health,173662,1135.27,2021-06-24,2026-07-25,Annually,Terminated,CUST97609761,1857,Long Term,0,Alexander Snow,Female,35,Recycling officer,Married,"Nicholasfurt, Michigan, 59895",26-35,1,0,Middle Age,AGT33556446,Renewed,30,12,0,Low Risk,0,Loyal
POL49483988,Auto,55748,330.03,2021-09-28,2024-06-07,Annually,Active,CUST75662303,983,Medium Term,1,Curtis Bradley,Female,62,"Therapist, horticultural",Divorced,"South Justinton, Kentucky, 01181",56+,0,1,Senior Adult,AGT81291077,Pending,49,71,1,High Risk,1,At Risk
