Customer ID,Name,Gender,Age,Occupation,Marital Status,"Address (City, State, Zip Code)",Age Bucket,Married Flag,Senior Citizen Flag,Customer Segment,Policy ID,Policy Type,Coverage Amount,Premium Amount,Policy Start Date,Policy End Date,Payment Frequency,Status,Policy Duration Days,Policy Duration Category,Active Policy Flag,Agent ID,Renewal Status,Policy Discounts,Risk Score,High_Risk_Flag,Risk Category,High Risk Flag,Renewal Segment
CUST70215391,Stacey Simpson,Male,79,Insurance underwriter,Married,"Williamschester, Illinois, 72402",56+,1,1,Senior Adult,POL62871234,Life,327101,1968.29,2017-02-25,2019-10-05,Quarterly,Lapsed,952,Medium Term,0,AGT87242817,Not Renewed,31,5,0,Low Risk,0,Churned
CUST70215391,Stacey Simpson,Male,79,Insurance underwriter,Married,"Williamschester, Illinois, 72402",56+,1,1,Senior Adult,POL38688649,Life,320381,560.56,2021-07-20,2023-03-17,Monthly,Terminated,605,Medium Term,0,AGT95063933,Renewed,2,5,0,Low Risk,0,Loyal
CUST63960070,Catherine Alvarez,Male,30,Occupational psychologist,Widowed,"North Joshuamouth, Delaware, 34119",26-35,0,0,Young Adult,POL71493130,Life,453432,1761.43,2022-01-19,2029-04-11,Annually,Terminated,2639,Long Term,0,AGT54576781,Pending,11,85,1,High Risk,1,At Risk
CUST63960070,Catherine Alvarez,Male,30,Occupational psychologist,Widowed,"North Joshuamouth, Delaware, 34119",26-35,0,0,Young Adult,POL57397238,Life,182023,838.55,2019-06-24,2027-04-12,Monthly,Terminated,2849,Long Term,0,AGT19679076,Not Renewed,2,10,0,Low Risk,0,Churned
CUST52977202,Joseph Curtis,Female,39,"Loss adjuster, chartered",Widowed,"Port Erictown, Arizona, 05830",36-45,0,0,Middle Age,POL06723826,Life,44387,511.46,2017-03-06,2020-07-14,Annually,Active,1226,Long Term,1,AGT79766570,Renewed,24,45,0,Medium Risk,0,Loyal
CUST52977202,Joseph Curtis,Female,39,"Loss adjuster, chartered",Widowed,"Port Erictown, Arizona, 05830",36-45,0,0,Middle Age,POL66161034,Life,417890,1276.82,2023-06-25,2032-07-23,Quarterly,Active,3316,Long Term,1,AGT43627793,Renewed,22,63,0,High Risk,0,Loyal
CUST20921135,Margaret Watson,Male,31,Soil scientist,Widowed,"East Nicholas, Maine, 01667",26-35,0,0,Middle Age,POL13276567,Auto,248845,1979.79,2022-11-22,2031-09-02,Quarterly,Lapsed,3206,Long Term,0,AGT41268647,Not Renewed,3,48,0,Medium Risk,0,Churned
CUST20921135,Margaret Watson,Male,31,Soil scientist,Widowed,"East Nicholas, Maine, 01667",26-35,0,0,Middle Age,POL12273521,Property,152050,1714.08,2022-08-30,2031-04-30,Annually,Lapsed,3165,Long Term,0,AGT35656742,Renewed,48,83,1,High Risk,1,Loyal
CUST20921135,Margaret Watson,Male,31,Soil scientist,Widowed,"East Nicholas, Maine, 01667",26-35,0,0,Middle Age,POL52358331,Auto,331163,639.27,2023-03-17,2029-07-15,Quarterly,Lapsed,2312,Long Term,0,AGT81169687,Not Renewed,17,18,0,Low Risk,0,Churned
CUST07733586,William Roberts,Male,66,Nutritional therapist,Divorced,"West Danny, Washington, 31919",56+,0,1,Senior Adult,POL12428570,Property,111894,1726.96,2022-03-21,2026-12-31,Annually,Terminated,1746,Long Term,0,AGT70288312,Not Renewed,31,77,1,High Risk,1,Churned
CUST07733586,William Roberts,Male,66,Nutritional therapist,Divorced,"West Danny, Washington, 31919",56+,0,1,Senior Adult,POL43969785,Auto,298624,1682.07,2021-05-23,2027-09-09,Quarterly,Terminated,2300,Long Term,0,AGT30079164,Not Renewed,9,64,0,High Risk,0,Churned
CUST78008020,Elizabeth Vincent,Male,75,Building services engineer,Divorced,"Richardmouth, Maryland, 54859",56+,0,1,Senior Adult,POL35610268,Health,116291,612.66,2019-12-27,2023-05-30,Annually,Lapsed,1250,Long Term,0,AGT76909046,Not Renewed,43,81,1,High Risk,1,Churned
CUST78008020,Elizabeth Vincent,Male,75,Building services engineer,Divorced,"Richardmouth, Maryland, 54859",56+,0,1,Senior Adult,POL08734095,Property,92358,153.22,2022-10-25,2030-09-09,Quarterly,Terminated,2876,Long Term,0,AGT41083446,Pending,11,35,0,Medium Risk,0,At Risk
CUST78008020,Elizabeth Vincent,Male,75,Building services engineer,Divorced,"Richardmouth, Maryland, 54859",56+,0,1,Senior Adult,POL34373487,Property,484387,931.51,2017-12-04,2021-01-27,Annually,Active,1150,Long Term,1,AGT77173574,Renewed,8,70,1,High Risk,1,Loyal
CUST88843350,Justin Olson,Male,84,Leisure centre manager,Single,"Davidville, Vermont, 65740",56+,0,1,Senior Adult,POL94500784,Life,207176,113.24,2020-12-18,2026-12-28,Annually,Lapsed,2201,Long Term,0,AGT56323679,Renewed,10,51,0,Medium Risk,0,Loyal
CUST80612800,Thomas Kramer,Female,36,"Engineer, water",Widowed,"Millerbury, Kentucky, 77208",36-45,0,0,Middle Age,POL97704616,Life,34065,1723.03,2019-03-23,2023-06-28,Monthly,Terminated,1558,Long Term,0,AGT79772172,Pending,25,68,0,High Risk,0,At Risk
CUST41066153,Daniel Williams,Female,80,"Engineer, technical sales",Single,"North James, Missouri, 47902",56+,0,1,Senior Adult,POL38618818,Life,279706,416.06,2020-03-10,2027-04-23,Annually,Active,2600,Long Term,1,AGT10306413,Pending,25,54,0,Medium Risk,0,At Risk
CUST47009499,Alexandra Thornton,Other,45,"Investment banker, corporate",Married,"Austinberg, Kentucky, 79483",36-45,1,0,Middle Age,POL22033410,Health,165573,1205.71,2016-04-02,2020-04-30,Annually,Active,1489,Long Term,1,AGT09924967,Not Renewed,10,13,0,Low Risk,0,Churned
CUST47009499,Alexandra Thornton,Other,45,"Investment banker, corporate",Married,"Austinberg, Kentucky, 79483",36-45,1,0,Middle Age,POL80850995,Life,123500,1191.29,2019-12-13,2022-12-13,Annually,Terminated,1096,Long Term,0,AGT35916505,Renewed,31,56,0,Medium Risk,0,Loyal
CUST08876431,Sarah Aguilar,Female,72,"Psychotherapist, dance movement",Single,"Port Christopherton, California, 30004",56+,0,1,Senior Adult,POL68220534,Auto,89721,1347.13,2024-04-19,2030-02-04,Monthly,Active,2117,Long Term,1,AGT04189162,Not Renewed,34,3,0,Low Risk,0,Churned
CUST08876431,Sarah Aguilar,Female,72,"Psychotherapist, dance movement",Single,"Port Christopherton, California, 30004",56+,0,1,Senior Adult,POL04548210,Health,225655,1262.76,2022-08-30,2023-11-26,Monthly,Active,453,Medium Term,1,AGT80997275,Renewed,39,16,0,Low Risk,0,Loyal
CUST70030309,Kathy Santana,Female,27,Retail buyer,Married,"New Christopherhaven, Wisconsin, 79162",26-35,1,0,Young Adult,POL96935129,Auto,274855,1663.13,2015-11-08,2017-12-16,Quarterly,Active,769,Medium Term,1,AGT38635867,Not Renewed,5,17,0,Low Risk,0,Churned
CUST70030309,Kathy Santana,Female,27,Retail buyer,Married,"New Christopherhaven, Wisconsin, 79162",26-35,1,0,Young Adult,POL72072111,Auto,96227,257.22,2022-06-11,2025-03-09,Monthly,Terminated,1002,Medium Term,0,AGT13513566,Pending,34,7,0,Low Risk,0,At Risk
CUST70030309,Kathy Santana,Female,27,Retail buyer,Married,"New Christopherhaven, Wisconsin, 79162",26-35,1,0,Young Adult,POL32734237,Property,481722,1010.96,2018-08-23,2024-12-04,Monthly,Active,2295,Long Term,1,AGT60829450,Not Renewed,41,6,0,Low Risk,0,Churned
CUST70030309,Kathy Santana,Female,27,Retail buyer,Married,"New Christopherhaven, Wisconsin, 79162",26-35,1,0,Young Adult,POL42381985,Life,357231,870.77,2024-10-01,2034-04-05,Monthly,Active,3473,Long Term,1,AGT69563556,Pending,47,42,0,Medium Risk,0,At Risk
CUST11391934,Sarah Yates,Female,55,Academic librarian,Divorced,"West William, Kentucky, 44106",46-55,0,0,Senior Adult,POL08242305,Property,363914,961.13,2017-07-31,2019-12-19,Quarterly,Active,871,Medium Term,1,AGT20764077,Not Renewed,0,13,0,Low Risk,0,Churned
CUST19151898,Scott Hahn,Female,83,Immunologist,Married,"Cruzfurt, Arkansas, 21969",56+,1,1,Senior Adult,POL31916884,Property,331589,592.77,2017-06-15,2019-02-11,Monthly,Active,606,Medium Term,1,AGT98447599,Renewed,11,67,0,High Risk,0,Loyal
CUST57146043,Megan Hernandez,Other,25,Manufacturing engineer,Widowed,"Johnsonmouth, Missouri, 60647",18-25,0,0,Young Adult,POL97318899,Health,296382,742.84,2023-12-23,2032-12-03,Monthly,Active,3268,Long Term,1,AGT31076742,Pending,10,2,0,Low Risk,0,At Risk
CUST57146043,Megan Hernandez,Other,25,Manufacturing engineer,Widowed,"Johnsonmouth, Missouri, 60647",18-25,0,0,Young Adult,POL68966328,Life,180266,1124.48,2018-03-06,2027-02-16,Annually,Active,3269,Long Term,1,AGT59582264,Renewed,4,96,1,High Risk,1,Loyal
CUST56743742,Chloe Logan,Female,61,Recycling officer,Married,"North Chelseamouth, South Carolina, 83379",56+,1,1,Senior Adult,POL52373291,Health,271787,999.41,2017-10-18,2026-08-26,Monthly,Terminated,3234,Long Term,0,AGT82377982,Renewed,21,12,0,Low Risk,0,Loyal
CUST38610025,Sherri Hall,Male,85,Retail buyer,Married,"Hunterville, Georgia, 56333",56+,1,1,Senior Adult,POL82089087,Health,311060,1923.46,2022-02-12,2026-07-02,Quarterly,Active,1601,Long Term,1,AGT16448584,Not Renewed,32,78,1,High Risk,1,Churned
CUST87082152,Jennifer Miller,Male,70,Civil Service fast streamer,Widowed,"Brownchester, Wyoming, 20968",56+,0,1,Senior Adult,POL26196435,Property,384155,1552.27,2019-08-07,2022-01-29,Annually,Active,906,Medium Term,1,AGT61763502,Not Renewed,15,55,0,Medium Risk,0,Churned
CUST87082152,Jennifer Miller,Male,70,Civil Service fast streamer,Widowed,"Brownchester, Wyoming, 20968",56+,0,1,Senior Adult,POL12826359,Property,29202,120.84,2015-09-26,2024-01-23,Annually,Terminated,3041,Long Term,0,AGT54660984,Pending,30,98,1,High Risk,1,At Risk
CUST87082152,Jennifer Miller,Male,70,Civil Service fast streamer,Widowed,"Brownchester, Wyoming, 20968",56+,0,1,Senior Adult,POL00776305,Life,83816,652.71,2020-09-30,2022-12-13,Quarterly,Lapsed,804,Medium Term,0,AGT02632074,Pending,11,50,0,Medium Risk,0,At Risk
CUST14823398,Steven Clark,Male,28,"Engineer, energy",Widowed,"Lake Adrianstad, Vermont, 03731",26-35,0,0,Young Adult,POL19746644,Property,49560,379.91,2017-03-21,2022-06-26,Annually,Active,1923,Long Term,1,AGT14578675,Pending,38,25,0,Low Risk,0,At Risk
CUST00698672,Crystal Thomas,Other,54,Professor Emeritus,Married,"South Maxwellview, Florida, 04162",46-55,1,0,Senior Adult,POL44115622,Auto,35268,1310.51,2016-06-28,2023-07-29,Monthly,Terminated,2587,Long Term,0,AGT01186526,Not Renewed,25,98,1,High Risk,1,Churned
CUST14314844,Heidi Kennedy,Other,36,"Horticulturist, commercial",Divorced,"Sharonside, South Dakota, 43359",36-45,0,0,Middle Age,POL32625291,Life,375967,222.03,2020-04-20,2027-05-30,Monthly,Terminated,2596,Long Term,0,AGT24245670,Pending,28,48,0,Medium Risk,0,At Risk
CUST19473832,Willie Garcia,Male,74,Telecommunications researcher,Married,"Ericberg, Florida, 29706",56+,1,1,Senior Adult,POL89952764,Life,372687,1528.09,2017-10-24,2019-03-05,Annually,Lapsed,497,Medium Term,0,AGT96635757,Not Renewed,41,66,0,High Risk,0,Churned
CUST67528346,Blake Jones,Other,73,Petroleum engineer,Widowed,"Andreaberg, Pennsylvania, 55838",56+,0,1,Senior Adult,POL42881568,Property,257485,1755.83,2016-06-30,2021-06-23,Quarterly,Terminated,1819,Long Term,0,AGT37420361,Pending,49,73,1,High Risk,1,At Risk
CUST53482350,Gina Mills,Female,74,Marine scientist,Single,"Welchland, New Mexico, 99464",56+,0,1,Senior Adult,POL31666008,Health,318866,530.44,2021-10-11,2027-02-02,Monthly,Lapsed,1940,Long Term,0,AGT42385083,Not Renewed,9,4,0,Low Risk,0,Churned
CUST53482350,Gina Mills,Female,74,Marine scientist,Single,"Welchland, New Mexico, 99464",56+,0,1,Senior Adult,POL28874062,Life,285843,1524.74,2022-11-12,2026-07-21,Monthly,Active,1347,Long Term,1,AGT76232332,Renewed,6,25,0,Low Risk,0,Loyal
CUST94440281,Aaron Hale,Male,74,Water engineer,Single,"Smithport, Delaware, 82934",56+,0,1,Senior Adult,POL20325916,Life,199227,1936.47,2022-11-22,2032-02-23,Monthly,Active,3380,Long Term,1,AGT47331302,Pending,48,2,0,Low Risk,0,At Risk
CUST91867775,William Martinez,Female,51,Architect,Divorced,"West Raymondshire, Virginia, 52436",46-55,0,0,Senior Adult,POL01239814,Auto,357404,1184.12,2015-06-12,2023-10-04,Annually,Active,3036,Long Term,1,AGT58491749,Renewed,4,1,0,Low Risk,0,Loyal
CUST21707227,Paul Gomez,Other,18,"Engineer, building services",Widowed,"North Chadview, Maryland, 70446",18-25,0,0,Young Adult,POL52707318,Health,410505,1294.16,2024-09-27,2027-07-29,Monthly,Active,1035,Medium Term,1,AGT79686245,Not Renewed,20,55,0,Medium Risk,0,Churned
CUST81617367,Joseph Wright,Other,54,"Development worker, community",Married,"South Michelleport, North Dakota, 18119",46-55,1,0,Senior Adult,POL24627769,Property,125363,1694.49,2016-01-09,2024-10-31,Monthly,Terminated,3218,Long Term,0,AGT07785311,Pending,50,37,0,Medium Risk,0,At Risk
CUST81617367,Joseph Wright,Other,54,"Development worker, community",Married,"South Michelleport, North Dakota, 18119",46-55,1,0,Senior Adult,POL92837863,Life,348985,1227.82,2018-12-29,2026-07-27,Quarterly,Lapsed,2767,Long Term,0,AGT41820852,Renewed,47,38,0,Medium Risk,0,Loyal
CUST79033345,Lori Schmidt,Male,19,Paediatric nurse,Divorced,"Figueroaview, Maine, 58482",18-25,0,0,Young Adult,POL02404416,Health,178255,1976.6,2023-10-09,2030-09-30,Quarterly,Active,2548,Long Term,1,AGT23876503,Renewed,16,55,0,Medium Risk,0,Loyal
CUST79033345,Lori Schmidt,Male,19,Paediatric nurse,Divorced,"Figueroaview, Maine, 58482",18-25,0,0,Young Adult,POL10286073,Life,198538,933.48,2015-10-07,2022-06-12,Annually,Lapsed,2440,Long Term,0,AGT01068051,Renewed,38,80,1,High Risk,1,Loyal
CUST21236149,Heather Kennedy,Other,21,Pathologist,Divorced,"South Tracy, North Carolina, 42213",18-25,0,0,Young Adult,POL20348552,Life,334606,824.98,2019-12-18,2028-02-21,Quarterly,Terminated,2987,Long Term,0,AGT73840376,Renewed,1,49,0,Medium Risk,0,Loyal
CUST43951887,Tyler Wallace Jr.,Other,58,Research scientist (life sciences),Single,"New Jasonstad, New Mexico, 51745",56+,0,0,Senior Adult,POL91419021,Health,137698,909.67,2022-07-20,2024-06-08,Monthly,Terminated,689,Medium Term,0,AGT29255598,Pending,30,86,1,High Risk,1,At Risk
CUST26787300,Alexandra Rose,Other,49,Broadcast engineer,Divorced,"Lake Stacyfurt, Alabama, 47854",46-55,0,0,Middle Age,POL22646973,Health,25363,904.43,2019-03-23,2028-08-28,Quarterly,Terminated,3446,Long Term,0,AGT66005978,Renewed,28,41,0,Medium Risk,0,Loyal
CUST06002600,Joel Rivera,Other,72,Dispensing optician,Married,"Robertchester, Georgia, 59128",56+,1,1,Senior Adult,POL60505158,Life,74379,382.69,2019-05-19,2027-10-24,Monthly,Active,3080,Long Term,1,AGT61525449,Pending,0,74,1,High Risk,1,At Risk
CUST56686028,Amanda Schultz,Male,49,"Embryologist, clinical",Single,"Brianburgh, Iowa, 80557",46-55,0,0,Middle Age,POL71744441,Property,45719,1178.85,2024-01-19,2026-09-14,Quarterly,Active,969,Medium Term,1,AGT66467932,Not Renewed,5,90,1,High Risk,1,Churned
CUST56686028,Amanda Schultz,Male,49,"Embryologist, clinical",Single,"Brianburgh, Iowa, 80557",46-55,0,0,Middle Age,POL20316923,Auto,496546,1443.69,2024-03-25,2027-03-07,Annually,Lapsed,1077,Medium Term,0,AGT84263446,Not Renewed,2,15,0,Low Risk,0,Churned
CUST56686028,Amanda Schultz,Male,49,"Embryologist, clinical",Single,"Brianburgh, Iowa, 80557",46-55,0,0,Middle Age,POL37180601,Property,354138,143.38,2018-03-22,2024-07-17,Monthly,Active,2309,Long Term,1,AGT74142340,Not Renewed,24,88,1,High Risk,1,Churned
CUST45173890,Andrew Martin,Other,54,"Accountant, chartered certified",Widowed,"Diamondberg, California, 56566",46-55,0,0,Senior Adult,POL38512389,Health,345743,1259.81,2016-02-18,2022-02-06,Monthly,Active,2180,Long Term,1,AGT75869040,Not Renewed,38,38,0,Medium Risk,0,Churned
CUST97526474,Tracy Sanders,Female,24,Environmental consultant,Single,"Leeville, Rhode Island, 11723",18-25,0,0,Young Adult,POL35985478,Property,145195,1870.79,2023-08-11,2029-11-24,Monthly,Active,2297,Long Term,1,AGT06180053,Renewed,31,52,0,Medium Risk,0,Loyal
CUST97526474,Tracy Sanders,Female,24,Environmental consultant,Single,"Leeville, Rhode Island, 11723",18-25,0,0,Young Adult,POL84230041,Property,177246,1333.29,2023-06-20,2029-12-23,Quarterly,Lapsed,2378,Long Term,0,AGT32306241,Not Renewed,1,9,0,Low Risk,0,Churned
CUST38219892,Sergio Reed,Other,63,"Engineer, drilling",Married,"Emilyport, Maryland, 68252",56+,1,1,Senior Adult,POL29207851,Property,405211,1541.28,2022-06-29,2024-03-07,Annually,Lapsed,617,Medium Term,0,AGT04681471,Renewed,37,63,0,High Risk,0,Loyal
CUST98370859,Dawn Cooper,Female,55,Film/video editor,Divorced,"West Sarahland, Alabama, 60916",46-55,0,0,Senior Adult,POL61024790,Property,336579,750.96,2019-07-29,2022-07-21,Monthly,Terminated,1088,Medium Term,0,AGT74529653,Renewed,40,66,0,High Risk,0,Loyal
CUST98370859,Dawn Cooper,Female,55,Film/video editor,Divorced,"West Sarahland, Alabama, 60916",46-55,0,0,Senior Adult,POL65537265,Life,299389,512.54,2024-05-27,2034-03-28,Monthly,Terminated,3592,Long Term,0,AGT01638368,Not Renewed,50,42,0,Medium Risk,0,Churned
CUST37690101,Jeffrey Stark MD,Male,79,"Research officer, political party",Divorced,"Alexanderland, Colorado, 32108",56+,0,1,Senior Adult,POL64365523,Life,227903,791.27,2019-04-10,2027-03-20,Annually,Lapsed,2901,Long Term,0,AGT00961440,Not Renewed,23,40,0,Medium Risk,0,Churned
CUST71549116,Preston Gutierrez,Male,32,"Engineer, production",Widowed,"Salazarchester, Oklahoma, 99437",26-35,0,0,Middle Age,POL56668614,Health,216613,801.06,2023-01-31,2032-07-29,Annually,Active,3467,Long Term,1,AGT78175799,Renewed,3,64,0,High Risk,0,Loyal
CUST71549116,Preston Gutierrez,Male,32,"Engineer, production",Widowed,"Salazarchester, Oklahoma, 99437",26-35,0,0,Middle Age,POL19165656,Property,248557,671.71,2023-03-19,2032-05-25,Annually,Lapsed,3355,Long Term,0,AGT41949820,Not Renewed,44,96,1,High Risk,1,Churned
CUST71549116,Preston Gutierrez,Male,32,"Engineer, production",Widowed,"Salazarchester, Oklahoma, 99437",26-35,0,0,Middle Age,POL89513880,Property,362517,890.53,2017-09-11,2026-03-21,Annually,Terminated,3113,Long Term,0,AGT33716201,Not Renewed,39,32,0,Medium Risk,0,Churned
CUST72249795,Jennifer Haley,Other,58,Fisheries officer,Divorced,"Robinsonview, Minnesota, 42391",56+,0,0,Senior Adult,POL82676830,Life,70715,1814.76,2022-12-06,2026-08-29,Monthly,Terminated,1362,Long Term,0,AGT87416341,Pending,31,87,1,High Risk,1,At Risk
CUST72249795,Jennifer Haley,Other,58,Fisheries officer,Divorced,"Robinsonview, Minnesota, 42391",56+,0,0,Senior Adult,POL49188779,Auto,313459,142.51,2015-01-14,2024-09-20,Quarterly,Terminated,3537,Long Term,0,AGT98623839,Pending,29,57,0,Medium Risk,0,At Risk
CUST17787169,Ashley Lam DDS,Other,67,"Engineer, drilling",Divorced,"Kimberlyhaven, Rhode Island, 61066",56+,0,1,Senior Adult,POL46009613,Property,97102,538.33,2022-12-28,2024-09-19,Annually,Active,631,Medium Term,1,AGT24162859,Pending,8,38,0,Medium Risk,0,At Risk
CUST17787169,Ashley Lam DDS,Other,67,"Engineer, drilling",Divorced,"Kimberlyhaven, Rhode Island, 61066",56+,0,1,Senior Adult,POL58601836,Property,241257,407.29,2023-02-13,2030-09-28,Monthly,Active,2784,Long Term,1,AGT89927126,Renewed,50,37,0,Medium Risk,0,Loyal
CUST40967783,Debbie Hall,Male,42,Commissioning editor,Divorced,"East Jessicabury, Indiana, 37798",36-45,0,0,Middle Age,POL31242516,Health,195747,459.84,2016-12-04,2020-10-09,Monthly,Active,1405,Long Term,1,AGT63420461,Not Renewed,38,15,0,Low Risk,0,Churned
CUST40967783,Debbie Hall,Male,42,Commissioning editor,Divorced,"East Jessicabury, Indiana, 37798",36-45,0,0,Middle Age,POL12430121,Property,332347,1566.12,2022-05-07,2024-11-29,Monthly,Terminated,937,Medium Term,0,AGT06837266,Not Renewed,15,4,0,Low Risk,0,Churned
